,Step,rank0,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank6,rank9
390,390,201,23,201,23,201,37,201,50,201,28
391,391,201,25,201,27,201,38,201,33,201,30
392,392,201,23,201,25,201,41,201,30,201,30
393,393,201,21,201,21,201,30,201,33,201,31
394,394,201,24,201,22,201,40,201,201,201,30
395,395,201,24,201,23,201,37,201,42,201,29
396,396,201,24,201,22,201,36,201,41,201,34
397,397,201,22,201,201,201,35,201,201,201,31
398,398,201,21,201,25,201,201,201,38,201,30
399,399,201,18,201,25,201,201,201,41,201,29
400,400,201,21,201,21,201,29,201,34,201,29
401,401,201,20,201,25,201,33,201,37,201,80
402,402,201,28,201,201,201,34,201,35,201,29
403,403,201,23,201,21,201,29,201,201,201,37
404,404,201,19,201,19,201,33,201,201,201,35
405,405,201,26,201,23,201,201,201,201,201,26
406,406,201,23,201,29,201,34,201,29,201,33
407,407,201,21,201,24,201,33,201,27,201,29
408,408,201,19,201,28,201,31,201,30,201,34
409,409,201,23,201,25,201,39,201,201,201,29
410,410,201,20,201,201,201,39,201,38,201,37
411,411,201,26,201,22,201,36,201,31,201,28
412,412,201,22,201,22,201,37,201,49,201,31
413,413,201,23,201,19,201,68,201,201,201,27
414,414,201,23,201,18,201,35,201,38,201,37
415,415,201,22,201,24,201,31,201,30,201,33
416,416,201,20,201,201,201,37,201,201,201,33
417,417,201,23,201,25,201,36,201,42,201,25
418,418,201,20,201,22,201,30,201,31,201,29
419,419,201,25,201,23,201,32,201,35,201,25
420,420,201,25,201,25,201,201,201,40,201,32
421,421,201,27,201,25,201,28,201,30,201,26
422,422,201,23,201,20,201,33,201,27,201,27
423,423,201,23,201,28,201,33,201,201,201,28
424,424,201,25,201,20,201,28,201,201,201,30
425,425,201,37,201,201,201,32,201,40,201,127
426,426,201,74,201,25,201,45,201,41,201,32
427,427,201,22,201,24,201,38,201,38,201,26
428,428,201,27,201,23,201,30,201,201,201,29
429,429,201,23,201,23,201,33,201,201,201,30
430,430,201,22,201,27,201,27,201,30,201,29
431,431,201,23,201,21,201,29,201,34,201,29
432,432,201,22,201,22,201,29,201,201,201,29
433,433,201,20,201,21,201,29,201,31,201,30
434,434,201,19,201,22,201,25,201,30,201,30
435,435,201,20,201,29,201,29,201,44,201,32
436,436,201,21,201,21,201,29,201,35,201,44
437,437,201,24,201,24,201,31,201,28,201,33
438,438,201,39,201,201,201,31,201,27,201,28
439,439,201,24,201,22,201,31,201,27,201,201
440,440,201,27,201,26,201,201,201,37,201,28
441,441,201,24,201,201,201,29,201,201,201,29
442,442,201,22,201,201,201,36,201,201,201,29
443,443,201,22,201,23,201,201,201,29,201,28
444,444,201,22,201,201,201,30,201,32,201,26
445,445,201,20,201,26,201,41,201,201,201,27
446,446,201,23,201,21,201,35,201,36,201,47
447,447,201,29,201,21,201,35,201,39,201,33
448,448,201,19,201,23,201,26,201,35,201,29
449,449,201,19,201,22,201,29,201,29,201,27
450,450,201,21,201,22,201,35,201,35,201,25
451,451,201,20,201,21,201,32,201,30,201,31
452,452,201,27,201,24,201,34,201,201,201,29
453,453,201,48,201,34,201,28,201,28,201,30
454,454,201,24,201,22,201,29,201,41,201,30
455,455,201,22,201,24,201,28,201,201,201,35
456,456,201,19,201,21,201,32,201,35,201,32
457,457,201,20,201,22,201,201,201,33,201,29
458,458,201,18,201,22,201,31,201,33,201,22
459,459,201,28,201,22,201,28,201,28,201,30
460,460,201,24,201,26,201,30,201,34,201,25
461,461,201,25,201,23,201,31,201,41,201,28
462,462,201,20,201,22,201,29,201,201,201,24
463,463,201,24,201,24,201,34,201,26,201,33
464,464,201,21,201,22,201,34,201,24,201,26
465,465,201,19,201,23,201,32,201,32,201,24
466,466,201,23,201,21,201,32,201,27,201,33
467,467,201,19,201,20,201,32,201,36,201,23
468,468,201,24,201,24,201,34,201,31,201,30
469,469,201,22,201,20,201,32,201,32,201,26
470,470,201,23,201,21,201,30,201,201,201,32
471,471,201,20,201,25,201,29,201,30,201,28
472,472,201,26,201,24,201,30,201,201,201,27
473,473,201,201,201,201,201,32,201,32,201,29
474,474,201,24,201,21,201,30,201,27,201,27
475,475,201,23,201,25,201,201,201,34,201,29
476,476,201,20,201,201,201,29,201,25,201,27
477,477,201,22,201,24,201,35,201,26,201,22
478,478,201,22,201,23,201,28,201,29,201,35
479,479,201,26,201,26,201,28,201,201,201,31
480,480,201,22,201,201,201,33,201,25,201,29
481,481,201,19,201,201,201,25,201,30,201,29
482,482,201,24,201,20,201,31,201,33,201,32
483,483,201,23,201,29,201,201,201,31,201,201
484,484,201,20,201,17,201,43,201,24,201,26
485,485,201,21,201,24,201,26,201,22,201,29
486,486,201,201,201,26,201,31,201,31,201,32
